City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Tuktoyaktuk,CA,2022-05-22 04:40:42,69.4541,-133.0374,24.8,80,75,10.36
189,Iqaluit,CA,2022-05-22 04:40:42,63.7506,-68.5145,31.73,86,100,21.85
190,Rustam,PK,2022-05-22 04:40:43,27.969,68.8048,93.15,4,0,4.41
191,Suntar,RU,2022-05-22 04:40:43,62.1444,117.6319,65.48,41,85,3.2
192,French Harbor,HN,2022-05-22 04:40:43,16.35,-86.4333,84.2,85,75,25.32
193,Nyurba,RU,2022-05-22 04:40:44,63.2842,118.3319,63.43,38,80,6.08
194,Half Moon Bay,US,2022-05-22 04:38:33,37.4636,-122.4286,62.91,74,0,17.27
195,Yeniseysk,RU,2022-05-22 04:40:45,58.4497,92.1703,63.93,33,56,5.88
196,Cidreira,BR,2022-05-22 04:40:45,-30.1811,-50.2056,55.58,81,97,4.18
197,Olinda,BR,2022-05-22 04:40:45,-8.0089,-34.8553,76.73,88,75,6.91
198,Mount Gambier,AU,2022-05-22 04:40:46,-37.8333,140.7667,62.33,52,2,5.1
199,Brasileia,BR,2022-05-22 04:40:47,-11.0161,-68.7481,70.84,80,16,1.59
200,Ubatuba,BR,2022-05-22 04:40:47,-23.4339,-45.0711,62.31,85,18,4.09
201,Yakeshi,CN,2022-05-22 04:40:48,49.2833,120.7333,76.68,18,81,19.3
202,Lata,PT,2022-05-22 04:40:48,40.1629,-8.3327,63.91,88,91,5.01
203,Paris,FR,2022-05-22 04:40:48,48.8534,2.3488,60.15,83,0,5.75
204,Poronaysk,RU,2022-05-22 04:40:49,49.2167,143.1167,49.6,81,100,9.78
205,Penhold,CA,2022-05-22 04:40:49,52.1334,-113.8687,43.84,39,0,5.75
206,Kondinskoye,RU,2022-05-22 04:40:50,59.6481,67.41,54.05,82,100,12.15
207,Lamu,KE,2022-05-22 04:40:50,-2.2717,40.902,79.02,82,89,11.23
208,Avarua,CK,2022-05-22 04:40:51,-21.2078,-159.775,77.05,83,75,3.44
209,Dong Xoai,VN,2022-05-22 04:40:51,11.5333,106.9167,82.74,84,100,8.43
210,Abnub,EG,2022-05-22 04:40:52,27.2696,31.1511,64.62,32,2,12.73
211,Nichinan,JP,2022-05-22 04:40:52,31.6,131.3667,74.88,57,95,6.82
212,Toguchin,RU,2022-05-22 04:40:52,55.2353,84.3858,77.36,37,100,16.17
213,Turayf,SA,2022-05-22 04:40:53,31.6725,38.6637,73.65,20,0,17.27
214,Yulara,AU,2022-05-22 04:40:53,-25.2406,130.9889,71.51,26,66,6.93
215,Anzio,IT,2022-05-22 04:40:54,41.4853,12.6179,66.85,99,9,1.68
216,Ponta Do Sol,PT,2022-05-22 04:40:21,32.6667,-17.1,66.83,77,64,3.29
217,Bodrum,TR,2022-05-22 04:40:55,37.0383,27.4292,67.48,64,71,8.08
218,Dali,CN,2022-05-22 04:40:55,25.7,100.1833,72.82,59,91,3.31
219,Grants,US,2022-05-22 04:39:00,35.1473,-107.8514,64.63,16,0,6.91
220,Bethel,US,2022-05-22 04:37:14,41.3712,-73.414,73.65,85,0,0.0
221,Kenai,US,2022-05-22 04:40:56,60.5544,-151.2583,62.69,19,40,14.97
222,Oistins,BB,2022-05-22 04:38:51,13.0667,-59.5333,80.69,74,20,19.57
223,Banda Aceh,ID,2022-05-22 04:40:57,5.5577,95.3222,86.97,67,15,17.58
224,Menongue,AO,2022-05-22 04:40:57,-14.6585,17.691,46.76,47,42,4.16
225,Toora-Khem,RU,2022-05-22 04:40:57,52.4675,96.11,76.62,22,2,3.4
226,Lunca Bradului,RO,2022-05-22 04:40:58,46.956,25.1114,55.27,90,81,5.41
227,Deputatskiy,RU,2022-05-22 04:40:58,69.3,139.9,31.39,100,100,1.36
228,Richards Bay,ZA,2022-05-22 04:40:59,-28.783,32.0377,62.6,78,100,19.48
229,Muravlenko,RU,2022-05-22 04:40:59,63.7898,74.523,49.08,55,100,16.44
230,Valparaiso,CL,2022-05-22 04:38:14,-33.0393,-71.6273,58.48,78,20,3.44
231,Dingle,PH,2022-05-22 04:32:51,10.9995,122.6711,87.94,63,100,6.4
232,Virginia Beach,US,2022-05-22 04:36:10,36.8529,-75.978,76.01,83,100,1.99
233,Byron Bay,AU,2022-05-22 04:42:00,-28.65,153.6167,62.71,80,98,16.02
234,Bonthe,SL,2022-05-22 04:42:00,7.5264,-12.505,76.98,89,100,5.37
235,Sehwan,PK,2022-05-22 04:42:01,26.4279,67.863,108.54,10,0,6.31
236,Kholm,RU,2022-05-22 04:42:01,59.2667,32.85,41.72,47,5,6.85
237,Lebork,PL,2022-05-22 04:37:42,54.5392,17.7501,49.91,88,79,10.71
238,Krasnoarmeyskiy,RU,2022-05-22 04:42:02,47.0114,42.2072,56.34,60,94,15.97
239,Barabai,ID,2022-05-22 04:42:02,-2.5833,115.3833,92.01,53,67,1.5
240,Esperance,AU,2022-05-22 04:42:03,-33.8667,121.9,74.37,50,22,17.87
241,Chicama,PE,2022-05-22 04:42:03,-7.8447,-79.1469,59.54,87,28,5.3
242,Key West,US,2022-05-22 04:42:04,24.5557,-81.7826,82.99,89,100,17.27
243,Kjollefjord,NO,2022-05-22 04:42:04,70.9457,27.3465,42.85,94,100,3.58
244,Mahebourg,MU,2022-05-22 04:42:05,-20.4081,57.7,73.69,78,40,5.75
245,Dalby,AU,2022-05-22 04:42:05,-27.1833,151.2667,59.86,83,98,12.12
246,Bardiyah,LY,2022-05-22 04:42:06,31.7561,25.0865,65.08,74,0,20.6
247,Guilin,CN,2022-05-22 04:42:06,25.2819,110.2864,66.31,97,100,4.07
248,San Andres,CO,2022-05-22 04:37:41,12.5847,-81.7006,78.82,89,75,3.44
249,Bubaque,GW,2022-05-22 04:42:07,11.2833,-15.8333,78.03,77,100,10.38
250,Diffa,NE,2022-05-22 04:42:08,13.3154,12.6113,78.67,29,90,7.43
251,Lompoc,US,2022-05-22 04:42:08,34.6391,-120.4579,56.01,85,100,6.91
252,Viedma,AR,2022-05-22 04:42:09,-40.8135,-62.9967,54.57,43,100,15.19
253,Kaitangata,NZ,2022-05-22 04:42:09,-46.2817,169.8464,45.28,73,64,13.31
254,Karatau,KZ,2022-05-22 04:39:25,43.1667,70.4667,57.79,60,100,11.27
255,Constitucion,CL,2022-05-22 04:42:10,-35.3333,-72.4167,53.08,71,100,4.94
256,Dese,ET,2022-05-22 04:42:10,11.1333,39.6333,66.58,24,74,2.84
257,Ballina,AU,2022-05-22 04:42:11,-28.8667,153.5667,62.78,82,96,17.13
258,Glenluce,GB,2022-05-22 04:42:11,54.8798,-4.8084,51.28,96,100,12.5
259,Wladyslawowo,PL,2022-05-22 04:42:11,54.7909,18.4009,49.93,83,83,17.98
260,Birin,NP,2022-05-22 04:34:20,26.8865,88.0718,71.24,63,80,5.64
261,Foumban,CM,2022-05-22 04:42:12,5.7291,10.9001,62.69,85,96,2.3
262,Fairbanks,US,2022-05-22 04:41:36,64.8378,-147.7164,69.76,33,0,14.97
263,Tanout,NE,2022-05-22 04:42:13,14.9709,8.8879,82.15,15,64,9.24
264,Wewak,PG,2022-05-22 04:42:13,-3.5534,143.6268,82.94,79,100,5.19
265,Boddam,GB,2022-05-22 04:42:14,57.4667,-1.7833,53.44,94,100,19.71
266,Howard Springs,AU,2022-05-22 04:42:14,-12.497,131.047,91.31,47,5,7.2
267,Jasper,US,2022-05-22 04:42:15,37.2001,-94.3502,54.88,85,20,3.44
268,Salalah,OM,2022-05-22 04:42:15,17.0151,54.0924,84.29,79,75,4.61
269,Port-Cartier,CA,2022-05-22 04:42:15,50.0334,-66.8654,46.62,98,78,1.86
270,Coahuayana,MX,2022-05-22 04:42:16,18.7333,-103.6833,75.2,82,57,2.17
271,Verkhoyansk,RU,2022-05-22 04:42:16,67.5447,133.385,52.0,47,100,1.28
272,Saint Andrews,US,2022-05-22 04:42:17,34.0454,-81.1293,73.29,78,75,9.22
273,Adrar,MR,2022-05-22 04:42:18,20.5022,-10.0711,85.78,11,1,7.65
274,Savannah Bight,HN,2022-05-22 04:42:18,16.45,-85.85,81.88,84,84,27.36
275,Hommersak,NO,2022-05-22 04:39:14,58.9317,5.8511,51.01,95,75,3.44
276,College,US,2022-05-22 04:42:19,64.8569,-147.8028,69.75,34,75,14.97
277,Broome,US,2022-05-22 04:42:19,42.2506,-75.833,72.86,79,75,13.8
278,Zaysan,KZ,2022-05-22 04:43:20,47.4667,84.8667,73.42,38,100,6.58
